Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
HIS of EDU in US since 1865,11995,EDU,210,4,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Wilber 220,Spring2020,Lecture,James C  Tschudy,30
HIS of EDU in US since 1865,13396,EDU,210,5,Undergraduate ,3,,4:30 pm - 7:30 pm,R,Wilber 203,Spring2020,Lecture,Bryon Kieth  Wilcox,30
Elected Field Experience,10560,EDU,300,6,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2020,Activity,Amanda   Fenlon,30
Elected Field Experience,10561,EDU,300,7,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2020,Activity,Amanda   Fenlon,30
Elected Field Experience,10562,EDU,300,1,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2020,Activity,Sandra L  Kyle,30
"School,Pedagogy&Social Justice",11979,EDU,301,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Wilber 203,Spring2020,Lecture,Bonita   Hampton,30
"School,Pedagogy&Social Justice",11980,EDU,301,3,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Wilber 203,Spring2020,Lecture,Bonita   Hampton,30
"School,Pedagogy&Social Justice",13237,EDU,301,4,Undergraduate ,3,,9:35 am - 10:55 am,TR,Wilber 203,Spring2020,Lecture,Bonita   Hampton,30
Field Placement I,10128,EDU,303,5,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2020,Activity,David Paul  Parisian,30
Culturally Relevant Teaching,11976,EDU,380,6,Undergraduate ,3,,11:10 am - 12:40 pm,MW,Wilber 220,Spring2020,Lecture,Alfred   Frederick,30
Culturally Relevant Teaching,11351,EDU,380,7,Undergraduate ,3,,4:30 pm - 7:30 pm,W,Sonata 118,Spring2020,Lecture,Alfred   Frederick,30
Teach Eng Lang Learn,12862,EDU,383,1,Undergraduate ,3,,5:00 pm - 8:00 pm,T,Sonata 107,Spring2020,Lecture,Anne   Fairbrother,30
Professionalism&Social Justice,10135,EDU,430,2,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2020,Practicum,David Paul  Parisian,30
Professionalism&Social Justice,10140,EDU,430,3,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2020,Practicum,David Paul  Parisian,30
Professionalism&Social Justice,11542,EDU,430,4,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2020,Practicum,David Paul  Parisian,30
Critical Pedagogy,13003,EDU,500,5,Graduate ,3,,5:00 pm - 8:00 pm,M,Park Hall 314,Spring2020,Tutorial,Tania   Ramalho,30
Foundatn of Educationl Inquiry,10148,EDU,501,6,Graduate ,3,,4:30 pm - 7:30 pm,R,Sonata 118,Spring2020,Lecture,Alfred   Frederick,30
Tech for Professional Developm,10597,EDU,506,7,Graduate ,3,,4:30 pm - 7:30 pm,W,Sonata 301,Spring2020,Recitation or Discussion,Harrison   Yang,30
Educ of Diverse Populations,10138,EDU,514,1,Graduate ,3,,4:30 pm - 7:30 pm,W,Sonata 118,Spring2020,Lecture,Alfred   Frederick,30
Cont Pro Develop thro Research,10598,EDU,516,2,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Dennis   Parsons,30
Improving Student Achievement,13970,EDU,517,3,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Dolores   Grayson,30
School Law for Teachers,12038,EDU,519,4,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Josephine Ferazzoli  Farrell,30
Professionalism&Social Justice,11996,EDU,530,5,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Lecture,David Paul  Parisian,30
Curriculum Development,12943,EDU,555,6,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Tania   Ramalho,30
TeachENG Lang Learn Across Cur,12863,EDU,583,7,Graduate ,3,,5:00 pm - 8:00 pm,T,Sonata 107,Spring2020,Lecture,Anne   Fairbrother,30
Composition I,10327,ENG,101,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Park Hall 314,Spring2020,Lecture,Mary A  Hess,30
Composition I,11369,ENG,101,2,Undergraduate ,3,,9:35 am - 10:55 am,TR,Marano Campus Center 208,Spring2020,Lecture,Anthony J  Caputa,30
Composition I-International,11442,ENG,101,3,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Marano Campus Center 231,Spring2020,Lecture,Melissa Ruth  Webb,30
